Type,Depth,Magnitude
earthquake,0.1683,0.49
earthquake,0.092,-0.7
earthquake,,2.6
earthquake,0.03331,2.11
earthquake,0.008108,0.9
earthquake,,2.5
earthquake,0.317,1.1
earthquake,0.00991,1.3
earthquake,0.006306,0.23
earthquake,0.03604,1.85
earthquake,0.00991,1.58
earthquake,0.06444,1.11
earthquake,0.067,0.5
earthquake,0.01051,0.49
earthquake,0.01171,0.12
earthquake,0.008108,0.56
earthquake,0.073,0.7
earthquake,3.893,4.6
earthquake,0.008274,0.39
earthquake,0.01441,0.07
earthquake,0.01171,0.18
earthquake,0.0528,0.47
earthquake,0.01622,0.9
earthquake,,1.8
earthquake,0.097,-0.8
earthquake,0.05856,1.2
earthquake,4.204,4.9
earthquake,0.07027,0.76
earthquake,0.01351,0.31
earthquake,0.01892,0.55
earthquake,0.1207,0.72
earthquake,0.08018,0.73
earthquake,0.01982,0.52
earthquake,0.008,-0.8
earthquake,17.795,4.3
earthquake,,4.0
earthquake,0.05093,0.79
earthquake,0.06574,1.36
earthquake,0.006306,0.9
earthquake,0.03153,1.12
earthquake,0.1734,1.05
earthquake,0.0779,0.89
earthquake,1.771,4.5
earthquake,0.009,-0.9
earthquake,0.233,1.47
earthquake,0.1042,1.25
earthquake,0.08167,0.64
