Felt,Detail,CDI,Sig
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2vw&format=geojson,,259
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134191&format=geojson,,24
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60050632&format=geojson,,49
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb14595454&format=geojson,,30
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408650&format=geojson,,9
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw60664346&format=geojson,,3
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134181&format=geojson,,1
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408642&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134176&format=geojson,,12
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2vu&format=geojson,,271
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408634&format=geojson,,1
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2w0&format=geojson,,259
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141u5401&format=geojson,,30
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2wd&format=geojson,,246
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lv8w&format=geojson,,326
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2wf&format=geojson,,298
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134166&format=geojson,,20
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141ts6wo&format=geojson,,44
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141tr79l&format=geojson,,30
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lvdk&format=geojson,,96
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00435972&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408626&format=geojson,,8
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60050627&format=geojson,,25
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72135671&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60050622&format=geojson,,49
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432943&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lybx&format=geojson,,104
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2vq&format=geojson,,246
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141tj0gw&format=geojson,,26
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lybw&format=geojson,,129
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134126&format=geojson,,61
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134121&format=geojson,,5
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408618&format=geojson,,28
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134116&format=geojson,,8
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141t4pzp&format=geojson,,50
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141t41rd&format=geojson,,56
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141t2lax&format=geojson,,50
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr14001000&format=geojson,,158
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141t1wz8&format=geojson,,35
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408610&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432942&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lybb&format=geojson,,104
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60050607&format=geojson,,68
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134111&format=geojson,,12
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lvde&format=geojson,,96
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00557599&format=geojson,,19
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134106&format=geojson,,26
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134101&format=geojson,,1
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134096&format=geojson,,53
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134091&format=geojson,,38
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408602&format=geojson,,19
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432831&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408594&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134086&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134081&format=geojson,,5
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432828&format=geojson,,8
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lv7u&format=geojson,,326
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408586&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134076&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134071&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408578&format=geojson,,3
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134066&format=geojson,,12
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141rtats&format=geojson,,50
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432940&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134051&format=geojson,,22
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lv7r&format=geojson,,369
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134046&format=geojson,,9
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134041&format=geojson,,1
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134036&format=geojson,,5
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408562&format=geojson,,8
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134031&format=geojson,,8
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134026&format=geojson,,4
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432939&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2vm&format=geojson,,284
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lv7j&format=geojson,,246
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408554&format=geojson,,10
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408546&format=geojson,,28
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134021&format=geojson,,12
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134016&format=geojson,,19
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408538&format=geojson,,17
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408530&format=geojson,,12
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lv8x&format=geojson,,312
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432937&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60050602&format=geojson,,33
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408522&format=geojson,,24
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408514&format=geojson,,6
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432933&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc71076849&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134011&format=geojson,,7
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00433108&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408506&format=geojson,,5
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141qlc97&format=geojson,,81
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408498&format=geojson,,23
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72134006&format=geojson,,28
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00433106&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lv78&format=geojson,,340
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60050592&format=geojson,,131
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133976&format=geojson,,69
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2vh&format=geojson,,259
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2vg&format=geojson,,259
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133971&format=geojson,,12
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw60664316&format=geojson,,16
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408490&format=geojson,,10
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141py2dm&format=geojson,,30
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133966&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408482&format=geojson,,16
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00433105&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141pmd6k&format=geojson,,39
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lvdc&format=geojson,,129
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133961&format=geojson,,5
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432825&format=geojson,,12
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408474&format=geojson,,16
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc71076564&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133956&format=geojson,,17
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141pitqc&format=geojson,,50
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nm610251&format=geojson,,56
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133951&format=geojson,,27
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408466&format=geojson,,2
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133946&format=geojson,,7
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usc000lv6s&format=geojson,,259
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133941&format=geojson,,3
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133936&format=geojson,,3
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133931&format=geojson,,33
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu60050582&format=geojson,,8
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci11408458&format=geojson,,31
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133921&format=geojson,,5
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133916&format=geojson,,9
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133926&format=geojson,,20
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usb000m2vf&format=geojson,,259
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133911&format=geojson,,3
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb14069302&format=geojson,,56
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb14746480&format=geojson,,39
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133906&format=geojson,,20
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141ozwh5&format=geojson,,39
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133901&format=geojson,,20
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc72133896&format=geojson,,5
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432932&format=geojson,,0
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0141owvrl&format=geojson,,39
,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00432821&format=geojson,,19
